K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.05,0.05,1.59997,-0.299995,0.699988,111,0.57735,0.57735,0.57735,0.866651,0.866651,1.26664,-1.22125e-15,1.66533e-16,1,n
0.05,0.1,1.99996,-0.499991,1.29998,100,1,0,0,1.29998,1.29998,1.99996,0,0,1,n
0.05,0.1,1.99996,-0.499991,1.29998,110,0.707107,0.707107,0,1.24998,1.29998,2.04996,0,0,1,n
0.05,0.1,1.99996,-0.499991,1.29998,111,0.57735,0.57735,0.57735,1.26664,1.26664,2.06663,7.77156e-16,2.77556e-17,1,n
0.05,0.15,2.39996,-0.699988,1.89997,100,1,0,0,1.89997,1.89997,2.39996,0,0,1,n
0.05,0.15,2.39996,-0.699988,1.89997,110,0.707107,0.707107,0,1.54997,1.89997,2.74996,0,0,1,n
0.05,0.15,2.39996,-0.699988,1.89997,111,0.57735,0.57735,0.57735,1.66664,1.66664,2.86662,5.55112e-17,3.88578e-16,1,n
0.05,0.2,2.79995,-0.899984,2.49996,100,1,0,0,2.49996,2.49996,2.79995,0,0,1,n
0.05,0.2,2.79995,-0.899984,2.49996,110,0.707107,0.707107,0,1.84997,2.49996,3.44994,0,0,1,n
0.05,0.2,2.79995,-0.899984,2.49996,111,0.57735,0.57735,0.57735,2.06663,2.06663,3.66661,-3.33067e-16,1.66533e-16,1,n
0.05,0.25,3.19994,-1.09998,3.09995,100,1,0,0,3.09995,3.09995,3.19994,0,0,1,n
0.05,0.25,3.19994,-1.09998,3.09995,110,0.707107,0.707107,0,2.14996,3.09995,4.14993,0,0,1,n
0.05,0.25,3.19994,-1.09998,3.09995,111,0.57735,0.57735,0.57735,2.46662,2.46662,4.46659,3.88578e-16,-5.55112e-17,1,n
0.05,0.3,3.59994,-1.29998,3.69994,100,1,0,0,3.59994,3.69994,3.69994,1,0,0,y
0.05,0.3,3.59994,-1.29998,3.69994,110,0.707107,0.707107,0,2.44996,3.69994,4.84992,0,0,1,n
0.05,0.3,3.59994,-1.29998,3.69994,111,0.57735,0.57735,0.57735,2.86662,2.86662,5.26658,-5.55112e-17,-4.996e-16,1,n
0.05,0.35,3.99993,-1.49997,4.29992,100,1,0,0,3.99993,4.29992,4.29992,1,0,0,y
0.05,0.35,3.99993,-1.49997,4.29992,110,0.707107,0.707107,0,2.74995,4.29992,5.5499,0,0,1,n
0.05,0.35,3.99993,-1.49997,4.29992,111,0.57735,0.57735,0.57735,3.26661,3.26661,6.06656,5.55112e-17,-1.66533e-16,1,n
0.05,0.4,4.39992,-1.69997,4.89991,100,1,0,0,4.39992,4.89991,4.89991,1,0,0,y
0.05,0.4,4.39992,-1.69997,4.89991,110,0.707107,0.707107,0,3.04994,4.89991,6.24988,0,0,1,n
0.05,0.4,4.39992,-1.69997,4.89991,111,0.57735,0.57735,0.57735,3.6666,3.6666,6.86654,-5.55112e-17,5.55112e-17,1,n
0.05,0.45,4.79992,-1.89997,5.4999,100,1,0,0,4.79992,5.4999,5.4999,1,0,0,y
0.05,0.45,4.79992,-1.89997,5.4999,110,0.707107,0.707107,0,3.34994,5.4999,6.94987,0,0,1,n
0.05,0.45,4.79992,-1.89997,5.4999,111,0.57735,0.57735,0.57735,4.0666,4.0666,7.66653,-5.55112e-17,-1.38778e-16,1,n
0.05,0.5,5.19991,-2.09996,6.09989,100,1,0,0,5.19991,6.09989,6.09989,1,0,0,y
0.05,0.5,5.19991,-2.09996,6.09989,110,0.707107,0.707107,0,3.64993,6.09989,7.64986,0,0,1,n
0.05,0.5,5.19991,-2.09996,6.09989,111,0.57735,0.57735,0.57735,4.46659,4.46659,8.46652,1.11022e-16,-4.44089e-16,1,n
0.05,0.55,5.5999,-2.29996,6.69988,100,1,0,0,5.5999,6.69988,6.69988,1,0,0,y
