K1,K3,C11,C12,C44,q_x,q_y,q_z,Rho*v1^2,Rho*v2^2,Rho*v3^2,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,0.999982,-4.53758e-11,8.55484e-12,0,0,1,8.55484e-12,8.55484e-12,0.999982,0,0,1,n
0,0.05,1.39998,-0.199996,0.599989,0,0,1,0.599989,0.599989,1.39998,0,0,1,n
0,0.1,1.79997,-0.399993,1.19998,0,0,1,1.19998,1.19998,1.79997,0,0,1,n
0,0.15,2.19996,-0.599989,1.79997,0,0,1,1.79997,1.79997,2.19996,0,0,1,n
0,0.2,2.59995,-0.799986,2.39996,0,0,1,2.39996,2.39996,2.59995,0,0,1,n
0,0.25,2.99995,-0.999982,2.99995,0,0,1,2.99995,2.99995,2.99995,0,0,1,=
0,0.3,3.39994,-1.19998,3.59994,0,0,1,3.39994,3.59994,3.59994,1,0,0,y
0,0.35,3.79993,-1.39998,4.19993,0,0,1,3.79993,4.19993,4.19993,1,0,0,y
0,0.4,4.19993,-1.59997,4.79992,0,0,1,4.19993,4.79992,4.79992,1,0,0,y
0,0.45,4.59992,-1.79997,5.39991,0,0,1,4.59992,5.39991,5.39991,1,0,0,y
0,0.5,4.99991,-1.99996,5.99989,0,0,1,4.99991,5.99989,5.99989,1,0,0,y
0,0.55,5.39991,-2.19996,6.59988,0,0,1,5.39991,6.59988,6.59988,1,0,0,y
0,0.6,5.7999,-2.39996,7.19987,0,0,1,5.7999,7.19987,7.19987,1,0,0,y
0,0.65,6.19989,-2.59995,7.79986,0,0,1,6.19989,7.79986,7.79986,1,0,0,y
0,0.7,6.59988,-2.79995,8.39985,0,0,1,6.59988,8.39985,8.39985,1,0,0,y
0.05,0,1.19998,-0.0999982,0.0999982,0,0,1,0.0999982,0.0999982,1.19998,0,0,1,n
0.05,0.05,1.59997,-0.299995,0.699988,0,0,1,0.699988,0.699988,1.59997,0,0,1,n
0.05,0.1,1.99996,-0.499991,1.29998,0,0,1,1.29998,1.29998,1.99996,0,0,1,n
0.05,0.15,2.39996,-0.699988,1.89997,0,0,1,1.89997,1.89997,2.39996,0,0,1,n
0.05,0.2,2.79995,-0.899984,2.49996,0,0,1,2.49996,2.49996,2.79995,0,0,1,n
0.05,0.25,3.19994,-1.09998,3.09995,0,0,1,3.09995,3.09995,3.19994,0,0,1,n
0.05,0.3,3.59994,-1.29998,3.69994,0,0,1,3.59994,3.69994,3.69994,1,0,0,y
0.05,0.35,3.99993,-1.49997,4.29992,0,0,1,3.99993,4.29992,4.29992,1,0,0,y
0.05,0.4,4.39992,-1.69997,4.89991,0,0,1,4.39992,4.89991,4.89991,1,0,0,y
0.05,0.45,4.79992,-1.89997,5.4999,0,0,1,4.79992,5.4999,5.4999,1,0,0,y
0.05,0.5,5.19991,-2.09996,6.09989,0,0,1,5.19991,6.09989,6.09989,1,0,0,y
0.05,0.55,5.5999,-2.29996,6.69988,0,0,1,5.5999,6.69988,6.69988,1,0,0,y
