K1,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.15,0.1,2.39996,-0.699988,1.49997,2.39996,1.49997,1.59997,1.49997,1.54997,2.33329,1.53331
0.15,0.15,2.79995,-0.899984,2.09996,2.79995,2.09996,1.99996,2.09996,1.84997,3.13328,1.9333
0.15,0.2,3.19994,-1.09998,2.69995,3.19994,2.69995,2.39996,2.69995,2.14996,3.93326,2.33329
0.15,0.25,3.59994,-1.29998,3.29994,3.59994,3.29994,2.79995,3.29994,2.44996,4.73325,2.73329
0.15,0.3,3.99993,-1.49997,3.89993,3.99993,3.89993,3.19994,3.89993,2.74995,5.53324,3.13328
0.15,0.35,4.39992,-1.69997,4.49992,4.39992,4.49992,3.59994,4.49992,3.04995,6.33322,3.53327
0.15,0.4,4.79992,-1.89997,5.09991,4.79992,5.09991,3.99993,5.09991,3.34994,7.13321,3.93326
0.15,0.45,5.19991,-2.09996,5.6999,5.19991,5.6999,4.39992,5.6999,3.64994,7.93319,4.33326
0.15,0.5,5.5999,-2.29996,6.29989,5.5999,6.29989,4.79992,6.29989,3.94993,8.73318,4.73325
0.15,0.55,5.99989,-2.49996,6.89988,5.99989,6.89988,5.19991,6.89988,4.24993,9.53317,5.13324
0.15,0.6,6.39989,-2.69995,7.49987,6.39989,7.49987,5.5999,7.49987,4.54992,10.3332,5.53324
0.15,0.65,6.79988,-2.89995,8.09986,6.79988,8.09986,5.99989,8.09986,4.84991,11.1331,5.93323
0.15,0.7,7.19987,-3.09995,8.69985,7.19987,8.69985,6.39989,8.69985,5.14991,11.9331,6.33322
0.2,0,1.79997,-0.399993,0.399993,1.79997,0.399993,0.899984,0.399993,1.09998,0.866651,0.866651
0.2,0.05,2.19996,-0.599989,0.999982,2.19996,0.999982,1.29998,0.999982,1.39998,1.66664,1.26664
0.2,0.1,2.59995,-0.799986,1.59997,2.59995,1.59997,1.69997,1.59997,1.69997,2.46662,1.66664
0.2,0.15,2.99995,-0.999982,2.19996,2.99995,2.19996,2.09996,2.19996,1.99996,3.26661,2.06663
0.2,0.2,3.39994,-1.19998,2.79995,3.39994,2.79995,2.49996,2.79995,2.29996,4.0666,2.46662
0.2,0.25,3.79993,-1.39998,3.39994,3.79993,3.39994,2.89995,3.39994,2.59995,4.86658,2.86662
0.2,0.3,4.19993,-1.59997,3.99993,4.19993,3.99993,3.29994,3.99993,2.89995,5.66657,3.26661
0.2,0.35,4.59992,-1.79997,4.59992,4.59992,4.59992,3.69994,4.59992,3.19994,6.46655,3.6666
0.2,0.4,4.99991,-1.99996,5.19991,4.99991,5.19991,4.09993,5.19991,3.49994,7.26654,4.0666
0.2,0.45,5.39991,-2.19996,5.7999,5.39991,5.7999,4.49992,5.7999,3.79993,8.06653,4.46659
0.2,0.5,5.7999,-2.39996,6.39989,5.7999,6.39989,4.89991,6.39989,4.09993,8.86651,4.86658
0.2,0.55,6.19989,-2.59995,6.99988,6.19989,6.99988,5.29991,6.99988,4.39992,9.6665,5.26657
0.2,0.6,6.59988,-2.79995,7.59987,6.59988,7.59987,5.6999,7.59987,4.69992,10.4665,5.66657
0.2,0.65,6.99988,-2.99995,8.19986,6.99988,8.19986,6.09989,8.19986,4.99991,11.2665,6.06656
0.2,0.7,7.39987,-3.19994,8.79985,7.39987,8.79985,6.49989,8.79985,5.29991,12.0665,6.46655
0.25,0,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.25,0.05,2.39996,-0.699988,1.09998,2.39996,1.09998,1.39998,1.09998,1.54997,1.79997,1.39998
0.25,0.1,2.79995,-0.899984,1.69997,2.79995,1.69997,1.79997,1.69997,1.84997,2.59995,1.79997
0.25,0.15,3.19994,-1.09998,2.29996,3.19994,2.29996,2.19996,2.29996,2.14996,3.39994,2.19996
0.25,0.2,3.59994,-1.29998,2.89995,3.59994,2.89995,2.59995,2.89995,2.44996,4.19993,2.59995
0.25,0.25,3.99993,-1.49997,3.49994,3.99993,3.49994,2.99995,3.49994,2.74995,4.99991,2.99995
0.25,0.3,4.39992,-1.69997,4.09993,4.39992,4.09993,3.39994,4.09993,3.04995,5.7999,3.39994
0.25,0.35,4.79992,-1.89997,4.69992,4.79992,4.69992,3.79993,4.69992,3.34994,6.59988,3.79993
0.25,0.4,5.19991,-2.09996,5.29991,5.19991,5.29991,4.19993,5.29991,3.64994,7.39987,4.19993
0.25,0.45,5.5999,-2.29996,5.8999,5.5999,5.8999,4.59992,5.8999,3.94993,8.19986,4.59992
0.25,0.5,5.99989,-2.49996,6.49989,5.99989,6.49989,4.99991,6.49989,4.24993,8.99984,4.99991
0.25,0.55,6.39989,-2.69995,7.09988,6.39989,7.09988,5.39991,7.09988,4.54992,9.79983,5.39991
0.25,0.6,6.79988,-2.89995,7.69986,6.79988,7.69986,5.7999,7.69986,4.84991,10.5998,5.7999
0.25,0.65,7.19987,-3.09995,8.29985,7.19987,8.29985,6.19989,8.29985,5.14991,11.3998,6.19989
0.25,0.7,7.59987,-3.29994,8.89984,7.59987,8.89984,6.59988,8.89984,5.4499,12.1998,6.59988
