K2,K4,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0,0,1.41419,0.707094,0.707094,1.41419,0.707094,1.41419,0.707094,0.353547,1.88558,0.471396
0,0.01,1.47076,0.678811,0.763662,1.47076,0.763662,1.45661,0.763662,0.395973,1.96101,0.518536
0,0.02,1.52732,0.650527,0.820229,1.52732,0.820229,1.49904,0.820229,0.438399,2.03643,0.565675
0,0.03,1.58389,0.622243,0.876797,1.58389,0.876797,1.54147,0.876797,0.480824,2.11186,0.612815
0,0.04,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0,0.05,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.01,0,1.47076,0.678811,0.763662,1.47076,0.763662,1.45661,0.763662,0.395973,1.96101,0.518536
0.01,0.01,1.52732,0.650527,0.820229,1.52732,0.820229,1.49904,0.820229,0.438399,2.03643,0.565675
0.01,0.02,1.58389,0.622243,0.876797,1.58389,0.876797,1.54147,0.876797,0.480824,2.11186,0.612815
0.01,0.03,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0.01,0.04,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.01,0.05,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.02,0,1.52732,0.650527,0.820229,1.52732,0.820229,1.49904,0.820229,0.438399,2.03643,0.565675
0.02,0.01,1.58389,0.622243,0.876797,1.58389,0.876797,1.54147,0.876797,0.480824,2.11186,0.612815
0.02,0.02,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0.02,0.03,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.02,0.04,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.02,0.05,1.81016,0.509108,1.10307,1.81016,1.10307,1.71117,1.10307,0.650527,2.41355,0.801374
0.03,0,1.58389,0.622243,0.876797,1.58389,0.876797,1.54147,0.876797,0.480824,2.11186,0.612815
0.03,0.01,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0.03,0.02,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.03,0.03,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.03,0.04,1.81016,0.509108,1.10307,1.81016,1.10307,1.71117,1.10307,0.650527,2.41355,0.801374
0.03,0.05,1.86673,0.480824,1.15963,1.86673,1.15963,1.75359,1.15963,0.692952,2.48897,0.848513
0.04,0,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0.04,0.01,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.04,0.02,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.04,0.03,1.81016,0.509108,1.10307,1.81016,1.10307,1.71117,1.10307,0.650527,2.41355,0.801374
0.04,0.04,1.86673,0.480824,1.15963,1.86673,1.15963,1.75359,1.15963,0.692952,2.48897,0.848513
0.04,0.05,1.9233,0.45254,1.2162,1.9233,1.2162,1.79602,1.2162,0.735378,2.5644,0.895653
0.05,0,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.05,0.01,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.05,0.02,1.81016,0.509108,1.10307,1.81016,1.10307,1.71117,1.10307,0.650527,2.41355,0.801374
0.05,0.03,1.86673,0.480824,1.15963,1.86673,1.15963,1.75359,1.15963,0.692952,2.48897,0.848513
0.05,0.04,1.9233,0.45254,1.2162,1.9233,1.2162,1.79602,1.2162,0.735378,2.5644,0.895653
0.05,0.05,1.97986,0.424257,1.27277,1.97986,1.27277,1.83845,1.27277,0.777804,2.63982,0.942792
