K2,K4,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,1.41419,0.707094,0.707094,100,1,0,0,0.707094,0.707094,1.41419,0,0,1,n
0,0,1.41419,0.707094,0.707094,110,0.707107,0.707107,0,0.353548,0.707094,1.76774,0,0,1,n
0,0,1.41419,0.707094,0.707094,111,0.57735,0.57735,0.57735,0.471397,0.471397,1.88558,5.55112e-17,5.55112e-17,1,n
0,0.01,1.47076,0.678811,0.763662,100,1,0,0,0.763662,0.763662,1.47076,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,110,0.707107,0.707107,0,0.395974,0.763662,1.83845,0,0,1,n
0,0.01,1.47076,0.678811,0.763662,111,0.57735,0.57735,0.57735,0.518537,0.518537,1.96101,-5.55112e-17,5.55112e-17,1,n
0,0.02,1.52732,0.650527,0.820229,100,1,0,0,0.820229,0.820229,1.52732,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,110,0.707107,0.707107,0,0.438396,0.820229,1.90915,0,0,1,n
0,0.02,1.52732,0.650527,0.820229,111,0.57735,0.57735,0.57735,0.565674,0.565674,2.03643,2.77556e-17,2.22045e-16,1,n
0,0.03,1.58389,0.622243,0.876797,100,1,0,0,0.876797,0.876797,1.58389,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,110,0.707107,0.707107,0,0.480824,0.876797,1.97986,0,0,1,n
0,0.03,1.58389,0.622243,0.876797,111,0.57735,0.57735,0.57735,0.612815,0.612815,2.11185,-1.66533e-16,-5.55112e-17,1,n
0,0.04,1.64046,0.593959,0.933365,100,1,0,0,0.933365,0.933365,1.64046,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,110,0.707107,0.707107,0,0.52325,0.933365,2.05057,0,0,1,n
0,0.04,1.64046,0.593959,0.933365,111,0.57735,0.57735,0.57735,0.659955,0.659955,2.18728,4.16334e-17,2.77556e-16,1,n
0,0.05,1.69703,0.565675,0.989932,100,1,0,0,0.989932,0.989932,1.69703,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,110,0.707107,0.707107,0,0.565677,0.989932,2.12128,0,0,1,n
0,0.05,1.69703,0.565675,0.989932,111,0.57735,0.57735,0.57735,0.707096,0.707096,2.2627,5.55112e-17,1.11022e-16,1,n
0.01,0,1.47076,0.678811,0.763662,100,1,0,0,0.763662,0.763662,1.47076,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,110,0.707107,0.707107,0,0.395974,0.763662,1.83845,0,0,1,n
0.01,0,1.47076,0.678811,0.763662,111,0.57735,0.57735,0.57735,0.518537,0.518537,1.96101,-5.55112e-17,5.55112e-17,1,n
0.01,0.01,1.52732,0.650527,0.820229,100,1,0,0,0.820229,0.820229,1.52732,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,110,0.707107,0.707107,0,0.438396,0.820229,1.90915,0,0,1,n
0.01,0.01,1.52732,0.650527,0.820229,111,0.57735,0.57735,0.57735,0.565674,0.565674,2.03643,2.77556e-17,2.22045e-16,1,n
0.01,0.02,1.58389,0.622243,0.876797,100,1,0,0,0.876797,0.876797,1.58389,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,110,0.707107,0.707107,0,0.480824,0.876797,1.97986,0,0,1,n
0.01,0.02,1.58389,0.622243,0.876797,111,0.57735,0.57735,0.57735,0.612815,0.612815,2.11185,-1.66533e-16,-5.55112e-17,1,n
0.01,0.03,1.64046,0.593959,0.933365,100,1,0,0,0.933365,0.933365,1.64046,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,110,0.707107,0.707107,0,0.52325,0.933365,2.05057,0,0,1,n
0.01,0.03,1.64046,0.593959,0.933365,111,0.57735,0.57735,0.57735,0.659955,0.659955,2.18728,4.16334e-17,2.77556e-16,1,n
0.01,0.04,1.69703,0.565675,0.989932,100,1,0,0,0.989932,0.989932,1.69703,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,110,0.707107,0.707107,0,0.565677,0.989932,2.12128,0,0,1,n
0.01,0.04,1.69703,0.565675,0.989932,111,0.57735,0.57735,0.57735,0.707096,0.707096,2.2627,5.55112e-17,1.11022e-16,1,n
0.01,0.05,1.75359,0.537392,1.0465,100,1,0,0,1.0465,1.0465,1.75359,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,110,0.707107,0.707107,0,0.608099,1.0465,2.19199,0,0,1,n
0.01,0.05,1.75359,0.537392,1.0465,111,0.57735,0.57735,0.57735,0.754233,0.754233,2.33812,1.11022e-16,1.52656e-16,1,n
0.02,0,1.52732,0.650527,0.820229,100,1,0,0,0.820229,0.820229,1.52732,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,110,0.707107,0.707107,0,0.438396,0.820229,1.90915,0,0,1,n
0.02,0,1.52732,0.650527,0.820229,111,0.57735,0.57735,0.57735,0.565674,0.565674,2.03643,2.77556e-17,2.22045e-16,1,n
0.02,0.01,1.58389,0.622243,0.876797,100,1,0,0,0.876797,0.876797,1.58389,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,110,0.707107,0.707107,0,0.480824,0.876797,1.97986,0,0,1,n
0.02,0.01,1.58389,0.622243,0.876797,111,0.57735,0.57735,0.57735,0.612815,0.612815,2.11185,-1.66533e-16,-5.55112e-17,1,n
0.02,0.02,1.64046,0.593959,0.933365,100,1,0,0,0.933365,0.933365,1.64046,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,110,0.707107,0.707107,0,0.52325,0.933365,2.05057,0,0,1,n
0.02,0.02,1.64046,0.593959,0.933365,111,0.57735,0.57735,0.57735,0.659955,0.659955,2.18728,4.16334e-17,2.77556e-16,1,n
0.02,0.03,1.69703,0.565675,0.989932,100,1,0,0,0.989932,0.989932,1.69703,0,0,1,n
0.02,0.03,1.69703,0.565675,0.989932,110,0.707107,0.707107,0,0.565677,0.989932,2.12128,0,0,1,n
