LAMMPS data file for SC lattice

125 atoms
19125 angles

1 atom types
6 angle types

0.0 5 xlo xhi
0.0 5 ylo yhi
0.0 5 zlo zhi

Masses

1 1.0

Atoms

160 1 102 2 101
161 1 102 2 103
162 1 102 2 107
163 3 102 2 21
164 3 102 2 23
165 3 102 2 6
166 3 102 2 8
167 5 102 2 47
168 5 102 2 26
169 5 102 2 28
170 5 102 2 32
171 3 22 2 1
172 3 22 2 3
173 6 22 2 7
174 3 22 2 27
175 1 22 2 122
176 3 22 2 101
177 3 22 2 103
178 5 22 2 107
179 1 22 2 21
180 1 22 2 23
181 5 22 2 6
182 5 22 2 8
183 1 22 2 47
184 3 22 2 26
185 3 22 2 28
186 5 22 2 32
187 6 1 2 3
188 3 1 2 7
189 3 1 2 27
190 3 1 2 122
191 1 1 2 101
192 5 1 2 103
193 3 1 2 107
194 1 1 2 21
195 5 1 2 23
196 1 1 2 6
197 5 1 2 8
198 3 1 2 47
199 1 1 2 26
200 5 1 2 28
201 3 1 2 32
202 3 3 2 7
203 3 3 2 27
204 3 3 2 122
205 5 3 2 101
206 1 3 2 103
207 3 3 2 107
208 5 3 2 21
209 1 3 2 23
210 5 3 2 6
211 1 3 2 8
212 3 3 2 47
213 5 3 2 26
214 1 3 2 28
215 3 3 2 32
216 3 7 2 27
217 5 7 2 122
218 3 7 2 101
219 3 7 2 103
220 1 7 2 107
221 5 7 2 21
222 5 7 2 23
223 1 7 2 6
224 1 7 2 8
225 5 7 2 47
226 3 7 2 26
227 3 7 2 28
228 1 7 2 32
229 5 27 2 122
230 5 27 2 101
231 5 27 2 103
232 5 27 2 107
233 3 27 2 21
234 3 27 2 23
235 3 27 2 6
236 3 27 2 8
237 1 27 2 47
238 1 27 2 26
239 1 27 2 28
240 1 27 2 32
241 2 122 2 101
242 2 122 2 103
243 3 122 2 107
244 2 122 2 21
245 2 122 2 23
246 4 122 2 6
247 4 122 2 8
248 3 122 2 47
249 4 122 2 26
250 4 122 2 28
251 6 122 2 32
252 3 101 2 103
253 2 101 2 107
254 2 101 2 21
255 4 101 2 23
256 2 101 2 6
257 4 101 2 8
258 4 101 2 47
259 3 101 2 26
260 6 101 2 28
261 4 101 2 32
262 2 103 2 107
263 4 103 2 21
264 2 103 2 23
265 4 103 2 6
266 2 103 2 8
267 4 103 2 47
268 6 103 2 26
269 3 103 2 28
270 4 103 2 32
271 4 107 2 21
272 4 107 2 23
273 2 107 2 6
274 2 107 2 8
275 6 107 2 47
276 4 107 2 26
277 4 107 2 28
278 3 107 2 32
279 3 21 2 23
280 3 21 2 6
281 6 21 2 8
282 2 21 2 47
283 2 21 2 26
284 4 21 2 28
285 4 21 2 32
286 6 23 2 6
287 3 23 2 8
288 2 23 2 47
289 4 23 2 26
290 2 23 2 28
291 4 23 2 32
292 3 6 2 8
293 4 6 2 47
294 2 6 2 26
295 4 6 2 28
296 2 6 2 32
297 4 8 2 47
298 4 8 2 26
299 2 8 2 28
300 2 8 2 32
301 2 47 2 26
302 2 47 2 28
303 3 47 2 32
304 3 26 2 28
305 2 26 2 32
306 2 28 2 32
307 3 103 3 23
308 3 103 3 2
309 3 103 3 4
310 3 103 3 8
311 6 103 3 28
312 1 103 3 123
313 1 103 3 102
314 1 103 3 104
315 1 103 3 108
316 3 103 3 22
317 3 103 3 24
318 3 103 3 7
319 3 103 3 9
320 5 103 3 48
321 5 103 3 27
322 5 103 3 29
323 5 103 3 33
324 3 23 3 2
325 3 23 3 4
326 6 23 3 8
327 3 23 3 28
328 1 23 3 123
329 3 23 3 102
330 3 23 3 104
331 5 23 3 108
332 1 23 3 22
333 1 23 3 24
334 5 23 3 7
335 5 23 3 9
336 1 23 3 48
337 3 23 3 27
338 3 23 3 29
339 5 23 3 33
340 6 2 3 4
341 3 2 3 8
342 3 2 3 28
343 3 2 3 123
344 1 2 3 102
345 5 2 3 104
346 3 2 3 108
347 1 2 3 22
348 5 2 3 24
349 1 2 3 7
350 5 2 3 9
351 3 2 3 48
352 1 2 3 27
353 5 2 3 29
354 3 2 3 33
355 3 4 3 8
356 3 4 3 28
357 3 4 3 123
358 5 4 3 102
359 1 4 3 104
360 3 4 3 108
361 5 4 3 22
362 1 4 3 24
363 5 4 3 7
364 1 4 3 9
365 3 4 3 48
366 5 4 3 27
367 1 4 3 29
368 3 4 3 33
369 3 8 3 28
370 5 8 3 123
371 3 8 3 102
372 3 8 3 104
373 1 8 3 108
374 5 8 3 22
375 5 8 3 24
376 1 8 3 7
377 1 8 3 9
378 5 8 3 48
379 3 8 3 27
380 3 8 3 29
381 1 8 3 33
382 5 28 3 123
383 5 28 3 102
384 5 28 3 104
385 5 28 3 108
386 3 28 3 22
387 3 28 3 24
388 3 28 3 7
389 3 28 3 9
390 1 28 3 48
391 1 28 3 27
392 1 28 3 29
393 1 28 3 33
394 2 123 3 102
395 2 123 3 104
396 3 123 3 108
397 2 123 3 22
398 2 123 3 24
399 4 123 3 7
400 4 123 3 9
401 3 123 3 48
402 4 123 3 27
403 4 123 3 29
404 6 123 3 33
405 3 102 3 104
406 2 102 3 108
407 2 102 3 22
408 4 102 3 24
409 2 102 3 7
410 4 102 3 9
411 4 102 3 48
412 3 102 3 27
413 6 102 3 29
414 4 102 3 33
415 2 104 3 108
416 4 104 3 22
417 2 104 3 24
418 4 104 3 7
419 2 104 3 9
420 4 104 3 48
421 6 104 3 27
422 3 104 3 29
423 4 104 3 33
424 4 108 3 22
425 4 108 3 24
426 2 108 3 7
427 2 108 3 9
428 6 108 3 48
429 4 108 3 27
430 4 108 3 29
431 3 108 3 33
432 3 22 3 24
433 3 22 3 7
434 6 22 3 9
435 2 22 3 48
436 2 22 3 27
437 4 22 3 29
438 4 22 3 33
439 6 24 3 7
440 3 24 3 9
441 2 24 3 48
442 4 24 3 27
443 2 24 3 29
444 4 24 3 33
445 3 7 3 9
446 4 7 3 48
447 2 7 3 27
448 4 7 3 29
449 2 7 3 33
450 4 9 3 48
451 4 9 3 27
452 2 9 3 29
453 2 9 3 33
454 2 48 3 27
455 2 48 3 29
456 3 48 3 33
457 3 27 3 29
458 2 27 3 33
459 2 29 3 33
460 3 104 4 24
461 3 104 4 3
462 3 104 4 5
463 3 104 4 9
464 6 104 4 29
465 1 104 4 124
466 1 104 4 103
467 1 104 4 105
468 1 104 4 109
469 3 104 4 23
470 3 104 4 25
471 3 104 4 8
472 3 104 4 10
473 5 104 4 49
474 5 104 4 28
475 5 104 4 30
476 5 104 4 34
477 3 24 4 3
478 3 24 4 5
479 6 24 4 9
480 3 24 4 29
481 1 24 4 124
482 3 24 4 103
483 3 24 4 105
484 5 24 4 109
485 1 24 4 23
486 1 24 4 25
487 5 24 4 8
488 5 24 4 10
489 1 24 4 49
490 3 24 4 28
491 3 24 4 30
492 5 24 4 34
493 6 3 4 5
494 3 3 4 9
495 3 3 4 29
496 3 3 4 124
497 1 3 4 103
498 5 3 4 105
499 3 3 4 109
500 1 3 4 23
501 5 3 4 25
502 1 3 4 8
503 5 3 4 10
504 3 3 4 49
505 1 3 4 28
506 5 3 4 30
507 3 3 4 34
508 3 5 4 9
509 3 5 4 29
510 3 5 4 124
511 5 5 4 103
512 1 5 4 105
513 3 5 4 109
514 5 5 4 23
515 1 5 4 25
516 5 5 4 8
517 1 5 4 10
518 3 5 4 49
519 5 5 4 28
520 1 5 4 30
521 3 5 4 34
522 3 9 4 29
523 5 9 4 124
524 3 9 4 103
525 3 9 4 105
526 1 9 4 109
527 5 9 4 23
528 5 9 4 25
529 1 9 4 8
530 1 9 4 10
531 5 9 4 49
532 3 9 4 28
533 3 9 4 30
534 1 9 4 34
535 5 29 4 124
536 5 29 4 103
537 5 29 4 105
538 5 29 4 109
539 3 29 4 23
540 3 29 4 25
541 3 29 4 8
542 3 29 4 10
543 1 29 4 49
544 1 29 4 28
545 1 29 4 30
546 1 29 4 34
547 2 124 4 103
548 2 124 4 105
549 3 124 4 109
550 2 124 4 23
551 2 124 4 25
552 4 124 4 8
553 4 124 4 10
554 3 124 4 49
555 4 124 4 28
556 4 124 4 30
557 6 124 4 34
558 3 103 4 105
559 2 103 4 109
560 2 103 4 23
561 4 103 4 25
562 2 103 4 8
563 4 103 4 10
564 4 103 4 49
565 3 103 4 28
566 6 103 4 30
567 4 103 4 34
568 2 105 4 109
569 4 105 4 23
570 2 105 4 25
571 4 105 4 8
572 2 105 4 10
573 4 105 4 49
574 6 105 4 28
575 3 105 4 30
576 4 105 4 34
577 4 109 4 23
578 4 109 4 25
579 2 109 4 8
580 2 109 4 10
581 6 109 4 49
582 4 109 4 28
583 4 109 4 30
584 3 109 4 34
585 3 23 4 25
586 3 23 4 8
587 6 23 4 10
588 2 23 4 49
589 2 23 4 28
590 4 23 4 30
591 4 23 4 34
592 6 25 4 8
593 3 25 4 10
594 2 25 4 49
