K2,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.2,0.4,7.07094,-2.12128,1.83845,110,0.707107,0.707107,0,1.83845,4.31328,4.59611,0,-1,0,m
0.2,0.4,7.07094,-2.12128,1.83845,111,0.57735,0.57735,0.57735,3.39406,3.67689,3.67689,1,6.38378e-16,-2.66454e-15,y
0.2,0.5,8.20229,-2.68696,1.83845,100,1,0,0,1.83845,1.83845,8.20229,0,0,1,n
0.2,0.5,8.20229,-2.68696,1.83845,110,0.707107,0.707107,0,1.83845,4.59612,5.44462,0,-1,0,m
0.2,0.5,8.20229,-2.68696,1.83845,111,0.57735,0.57735,0.57735,3.39406,4.24257,4.24257,1,1.11022e-15,-2.22045e-16,y
0.3,0,3.11122,-0.141419,2.40412,100,1,0,0,2.40412,2.40412,3.11122,0,0,1,n
0.3,0,3.11122,-0.141419,2.40412,110,0.707107,0.707107,0,1.62632,2.40412,3.88902,0,0,1,n
0.3,0,3.11122,-0.141419,2.40412,111,0.57735,0.57735,0.57735,1.88559,1.88559,4.14829,1.66533e-16,-5.55112e-17,1,n
0.3,0.1,4.24257,-0.707094,2.40412,100,1,0,0,2.40412,2.40412,4.24257,0,0,1,n
0.3,0.1,4.24257,-0.707094,2.40412,110,0.707107,0.707107,0,2.40412,2.47483,4.17186,0,0,1,n
0.3,0.1,4.24257,-0.707094,2.40412,111,0.57735,0.57735,0.57735,2.45126,2.45126,4.14829,-2.77556e-17,-4.996e-16,1,n
0.3,0.2,5.37392,-1.27277,2.40412,100,1,0,0,2.40412,2.40412,5.37392,0,0,1,n
0.3,0.2,5.37392,-1.27277,2.40412,110,0.707107,0.707107,0,2.40412,3.32334,4.45469,0,0,1,n
0.3,0.2,5.37392,-1.27277,2.40412,111,0.57735,0.57735,0.57735,3.01694,3.01694,4.14829,5.55112e-17,4.16334e-16,1,n
0.3,0.3,6.50527,-1.83845,2.40412,100,1,0,0,2.40412,2.40412,6.50527,0,0,1,n
0.3,0.3,6.50527,-1.83845,2.40412,110,0.707107,0.707107,0,2.40412,4.17186,4.73753,0,0,1,n
0.3,0.3,6.50527,-1.83845,2.40412,111,0.57735,0.57735,0.57735,3.58261,3.58261,4.14828,-2.77556e-17,2.05391e-15,1,n
0.3,0.4,7.63662,-2.40412,2.40412,100,1,0,0,2.40412,2.40412,7.63662,0,0,1,n
0.3,0.4,7.63662,-2.40412,2.40412,110,0.707107,0.707107,0,2.40412,5.02037,5.02037,0,0.707107,0.707107,m
0.3,0.4,7.63662,-2.40412,2.40412,111,0.57735,0.57735,0.57735,4.14829,4.14829,4.14829,0.57735,0.57735,0.57735,=
0.3,0.5,8.76797,-2.9698,2.40412,100,1,0,0,2.40412,2.40412,8.76797,0,0,1,n
0.3,0.5,8.76797,-2.9698,2.40412,110,0.707107,0.707107,0,2.40412,5.3032,5.86888,0,-1,0,m
0.3,0.5,8.76797,-2.9698,2.40412,111,0.57735,0.57735,0.57735,4.14828,4.71396,4.71396,1,5.27356e-16,-5.55112e-17,y
0.4,0,3.67689,-0.424257,2.9698,100,1,0,0,2.9698,2.9698,3.67689,0,0,1,n
0.4,0,3.67689,-0.424257,2.9698,110,0.707107,0.707107,0,2.05057,2.9698,4.59612,0,0,1,n
0.4,0,3.67689,-0.424257,2.9698,111,0.57735,0.57735,0.57735,2.35698,2.35698,4.90253,0,-1.11022e-16,1,n
0.4,0.1,4.80824,-0.989932,2.9698,100,1,0,0,2.9698,2.9698,4.80824,0,0,1,n
0.4,0.1,4.80824,-0.989932,2.9698,110,0.707107,0.707107,0,2.89909,2.9698,4.87895,0,0,1,n
0.4,0.1,4.80824,-0.989932,2.9698,111,0.57735,0.57735,0.57735,2.92266,2.92266,4.90253,0,1.38778e-16,1,n
0.4,0.2,5.93959,-1.55561,2.9698,100,1,0,0,2.9698,2.9698,5.93959,0,0,1,n
0.4,0.2,5.93959,-1.55561,2.9698,110,0.707107,0.707107,0,2.9698,3.7476,5.16179,0,0,1,n
0.4,0.2,5.93959,-1.55561,2.9698,111,0.57735,0.57735,0.57735,3.48833,3.48833,4.90252,0,-3.05311e-16,1,n
0.4,0.3,7.07094,-2.12128,2.9698,100,1,0,0,2.9698,2.9698,7.07094,0,0,1,n
0.4,0.3,7.07094,-2.12128,2.9698,110,0.707107,0.707107,0,2.9698,4.59611,5.44463,0,0,1,n
0.4,0.3,7.07094,-2.12128,2.9698,111,0.57735,0.57735,0.57735,4.05401,4.05401,4.90253,-5.55112e-17,-2.77556e-17,1,n
