K2,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.08,0,1.86673,0.480824,1.15963,1.86673,1.15963,1.75359,1.15963,0.692952,2.48897,0.848513
0.08,0.01,1.97986,0.424257,1.15963,1.97986,1.15963,1.78188,1.15963,0.777804,2.48897,0.905081
0.08,0.02,2.093,0.367689,1.15963,2.093,1.15963,1.81016,1.15963,0.862655,2.48897,0.961648
0.08,0.03,2.20613,0.311122,1.15963,2.20613,1.15963,1.83845,1.15963,0.947506,2.48897,1.01822
0.08,0.04,2.31927,0.254554,1.15963,2.31927,1.15963,1.86673,1.15963,1.03236,2.48897,1.07478
0.08,0.05,2.4324,0.197986,1.15963,2.4324,1.15963,1.89501,1.15963,1.11721,2.48897,1.13135
0.09,0,1.9233,0.45254,1.2162,1.9233,1.2162,1.79602,1.2162,0.735378,2.5644,0.895653
0.09,0.01,2.03643,0.395973,1.2162,2.03643,1.2162,1.8243,1.2162,0.820229,2.5644,0.95222
0.09,0.02,2.14957,0.339405,1.2162,2.14957,1.2162,1.85259,1.2162,0.905081,2.5644,1.00879
0.09,0.03,2.2627,0.282838,1.2162,2.2627,1.2162,1.88087,1.2162,0.989932,2.5644,1.06536
0.09,0.04,2.37584,0.22627,1.2162,2.37584,1.2162,1.90915,1.2162,1.07478,2.5644,1.12192
0.09,0.05,2.48897,0.169703,1.2162,2.48897,1.2162,1.93744,1.2162,1.15963,2.5644,1.17849
0.1,0,1.97986,0.424257,1.27277,1.97986,1.27277,1.83845,1.27277,0.777804,2.63982,0.942792
0.1,0.01,2.093,0.367689,1.27277,2.093,1.27277,1.86673,1.27277,0.862655,2.63982,0.99936
0.1,0.02,2.20613,0.311122,1.27277,2.20613,1.27277,1.89501,1.27277,0.947506,2.63982,1.05593
0.1,0.03,2.31927,0.254554,1.27277,2.31927,1.27277,1.9233,1.27277,1.03236,2.63982,1.1125
0.1,0.04,2.4324,0.197986,1.27277,2.4324,1.27277,1.95158,1.27277,1.11721,2.63982,1.16906
