K2,K3,C11,C12,C44,q_x,q_y,q_z,Rho*v1^2,Rho*v2^2,Rho*v3^2,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,1.41419,0.707094,0.707094,0,0,1,0.707094,0.707094,1.41419,0,0,1,n
0,0.1,2.54554,0.141419,0.707094,0,0,1,0.707094,0.707094,2.54554,0,0,1,n
0,0.2,3.67689,-0.424257,0.707094,0,0,1,0.707094,0.707094,3.67689,0,0,1,n
0,0.3,4.80824,-0.989932,0.707094,0,0,1,0.707094,0.707094,4.80824,0,0,1,n
0,0.4,5.93959,-1.55561,0.707094,0,0,1,0.707094,0.707094,5.93959,0,0,1,n
0,0.5,7.07094,-2.12128,0.707094,0,0,1,0.707094,0.707094,7.07094,0,0,1,n
0.1,0,1.97986,0.424257,1.27277,0,0,1,1.27277,1.27277,1.97986,0,0,1,n
0.1,0.1,3.11122,-0.141419,1.27277,0,0,1,1.27277,1.27277,3.11122,0,0,1,n
0.1,0.2,4.24257,-0.707094,1.27277,0,0,1,1.27277,1.27277,4.24257,0,0,1,n
0.1,0.3,5.37392,-1.27277,1.27277,0,0,1,1.27277,1.27277,5.37392,0,0,1,n
0.1,0.4,6.50527,-1.83845,1.27277,0,0,1,1.27277,1.27277,6.50527,0,0,1,n
0.1,0.5,7.63662,-2.40412,1.27277,0,0,1,1.27277,1.27277,7.63662,0,0,1,n
0.2,0,2.54554,0.141419,1.83845,0,0,1,1.83845,1.83845,2.54554,0,0,1,n
0.2,0.1,3.67689,-0.424257,1.83845,0,0,1,1.83845,1.83845,3.67689,0,0,1,n
0.2,0.2,4.80824,-0.989932,1.83845,0,0,1,1.83845,1.83845,4.80824,0,0,1,n
0.2,0.3,5.93959,-1.55561,1.83845,0,0,1,1.83845,1.83845,5.93959,0,0,1,n
0.2,0.4,7.07094,-2.12128,1.83845,0,0,1,1.83845,1.83845,7.07094,0,0,1,n
0.2,0.5,8.20229,-2.68696,1.83845,0,0,1,1.83845,1.83845,8.20229,0,0,1,n
0.3,0,3.11122,-0.141419,2.40412,0,0,1,2.40412,2.40412,3.11122,0,0,1,n
