K1,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.4,0.25,4.59992,-1.79997,3.79993,4.59992,3.79993,3.29994,3.79993,3.19994,5.39991,3.39994
0.45,0,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.45,0.05,3.19994,-1.09998,1.49997,3.19994,1.49997,1.79997,1.49997,2.14996,2.33329,1.9333
0.45,0.1,3.59994,-1.29998,2.09996,3.59994,2.09996,2.19996,2.09996,2.44996,3.13328,2.33329
0.45,0.15,3.99993,-1.49997,2.69995,3.99993,2.69995,2.59995,2.69995,2.74995,3.93326,2.73329
0.45,0.2,4.39992,-1.69997,3.29994,4.39992,3.29994,2.99995,3.29994,3.04995,4.73325,3.13328
0.45,0.25,4.79992,-1.89997,3.89993,4.79992,3.89993,3.39994,3.89993,3.34994,5.53324,3.53327
0.5,0,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.5,0.05,3.39994,-1.19998,1.59997,3.39994,1.59997,1.89997,1.59997,2.29996,2.46662,2.06663
0.5,0.1,3.79993,-1.39998,2.19996,3.79993,2.19996,2.29996,2.19996,2.59995,3.26661,2.46662
0.5,0.15,4.19993,-1.59997,2.79995,4.19993,2.79995,2.69995,2.79995,2.89995,4.0666,2.86662
0.5,0.2,4.59992,-1.79997,3.39994,4.59992,3.39994,3.09995,3.39994,3.19994,4.86658,3.26661
0.5,0.25,4.99991,-1.99996,3.99993,4.99991,3.99993,3.49994,3.99993,3.49994,5.66657,3.6666
0.55,0,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.55,0.05,3.59994,-1.29998,1.69997,3.59994,1.69997,1.99996,1.69997,2.44996,2.59995,2.19996
0.55,0.1,3.99993,-1.49997,2.29996,3.99993,2.29996,2.39996,2.29996,2.74995,3.39994,2.59995
0.55,0.15,4.39992,-1.69997,2.89995,4.39992,2.89995,2.79995,2.89995,3.04995,4.19993,2.99995
0.55,0.2,4.79992,-1.89997,3.49994,4.79992,3.49994,3.19994,3.49994,3.34994,4.99991,3.39994
0.55,0.25,5.19991,-2.09996,4.09993,5.19991,4.09993,3.59994,4.09993,3.64994,5.7999,3.79993
0.6,0,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.6,0.05,3.79993,-1.39998,1.79997,3.79993,1.79997,2.09996,1.79997,2.59995,2.73329,2.33329
0.6,0.1,4.19993,-1.59997,2.39996,4.19993,2.39996,2.49996,2.39996,2.89995,3.53327,2.73329
0.6,0.15,4.59992,-1.79997,2.99995,4.59992,2.99995,2.89995,2.99995,3.19994,4.33326,3.13328
0.6,0.2,4.99991,-1.99996,3.59994,4.99991,3.59994,3.29994,3.59994,3.49994,5.13324,3.53327
0.6,0.25,5.39991,-2.19996,4.19993,5.39991,4.19993,3.69994,4.19993,3.79993,5.93323,3.93326
0.65,0,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.65,0.05,3.99993,-1.49997,1.89997,3.99993,1.89997,2.19996,1.89997,2.74995,2.86662,2.46662
0.65,0.1,4.39992,-1.69997,2.49996,4.39992,2.49996,2.59995,2.49996,3.04995,3.6666,2.86662
0.65,0.15,4.79992,-1.89997,3.09995,4.79992,3.09995,2.99995,3.09995,3.34994,4.46659,3.26661
0.65,0.2,5.19991,-2.09996,3.69994,5.19991,3.69994,3.39994,3.69994,3.64994,5.26657,3.6666
0.65,0.25,5.5999,-2.29996,4.29992,5.5999,4.29992,3.79993,4.29992,3.94993,6.06656,4.0666
0.7,0,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.7,0.05,4.19993,-1.59997,1.99996,4.19993,1.99996,2.29996,1.99996,2.89995,2.99995,2.59995
0.7,0.1,4.59992,-1.79997,2.59995,4.59992,2.59995,2.69995,2.59995,3.19994,3.79993,2.99995
0.7,0.15,4.99991,-1.99996,3.19994,4.99991,3.19994,3.09995,3.19994,3.49994,4.59992,3.39994
0.7,0.2,5.39991,-2.19996,3.79993,5.39991,3.79993,3.49994,3.79993,3.79993,5.39991,3.79993
0.7,0.25,5.7999,-2.39996,4.39992,5.7999,4.39992,3.89993,4.39992,4.09993,6.19989,4.19993
