K1,K5,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.05,0.1,1.59997,-0.299995,0.299995,1.59997,0.299995,0.799986,0.299995,0.949983,0.73332,0.73332
0.05,0.15,1.79997,-0.399993,0.399993,1.79997,0.399993,0.899984,0.399993,1.09998,0.866651,0.866651
0.05,0.2,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.05,0.25,2.19996,-0.599989,0.599989,2.19996,0.599989,1.09998,0.599989,1.39998,1.13331,1.13331
0.05,0.3,2.39996,-0.699988,0.699988,2.39996,0.699988,1.19998,0.699988,1.54997,1.26664,1.26664
0.05,0.35,2.59995,-0.799986,0.799986,2.59995,0.799986,1.29998,0.799986,1.69997,1.39998,1.39998
0.05,0.4,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.05,0.45,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.05,0.5,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.05,0.55,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.05,0.6,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.05,0.65,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.05,0.7,3.99993,-1.49997,1.49997,3.99993,1.49997,1.99996,1.49997,2.74995,2.33329,2.33329
0.1,0,1.39998,-0.199996,0.199996,1.39998,0.199996,0.699988,0.199996,0.799986,0.599989,0.599989
0.1,0.05,1.59997,-0.299995,0.299995,1.59997,0.299995,0.799986,0.299995,0.949983,0.73332,0.73332
0.1,0.1,1.79997,-0.399993,0.399993,1.79997,0.399993,0.899984,0.399993,1.09998,0.866651,0.866651
0.1,0.15,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.1,0.2,2.19996,-0.599989,0.599989,2.19996,0.599989,1.09998,0.599989,1.39998,1.13331,1.13331
0.1,0.25,2.39996,-0.699988,0.699988,2.39996,0.699988,1.19998,0.699988,1.54997,1.26664,1.26664
0.1,0.3,2.59995,-0.799986,0.799986,2.59995,0.799986,1.29998,0.799986,1.69997,1.39998,1.39998
0.1,0.35,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.1,0.4,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.1,0.45,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.1,0.5,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.1,0.55,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.1,0.6,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.1,0.65,3.99993,-1.49997,1.49997,3.99993,1.49997,1.99996,1.49997,2.74995,2.33329,2.33329
0.1,0.7,4.19993,-1.59997,1.59997,4.19993,1.59997,2.09996,1.59997,2.89995,2.46662,2.46662
0.15,0,1.59997,-0.299995,0.299995,1.59997,0.299995,0.799986,0.299995,0.949983,0.73332,0.73332
0.15,0.05,1.79997,-0.399993,0.399993,1.79997,0.399993,0.899984,0.399993,1.09998,0.866651,0.866651
0.15,0.1,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.15,0.15,2.19996,-0.599989,0.599989,2.19996,0.599989,1.09998,0.599989,1.39998,1.13331,1.13331
0.15,0.2,2.39996,-0.699988,0.699988,2.39996,0.699988,1.19998,0.699988,1.54997,1.26664,1.26664
0.15,0.25,2.59995,-0.799986,0.799986,2.59995,0.799986,1.29998,0.799986,1.69997,1.39998,1.39998
0.15,0.3,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.15,0.35,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.15,0.4,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.15,0.45,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.15,0.5,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.15,0.55,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.15,0.6,3.99993,-1.49997,1.49997,3.99993,1.49997,1.99996,1.49997,2.74995,2.33329,2.33329
0.15,0.65,4.19993,-1.59997,1.59997,4.19993,1.59997,2.09996,1.59997,2.89995,2.46662,2.46662
0.15,0.7,4.39992,-1.69997,1.69997,4.39992,1.69997,2.19996,1.69997,3.04995,2.59995,2.59995
0.2,0,1.79997,-0.399993,0.399993,1.79997,0.399993,0.899984,0.399993,1.09998,0.866651,0.866651
0.2,0.05,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.2,0.1,2.19996,-0.599989,0.599989,2.19996,0.599989,1.09998,0.599989,1.39998,1.13331,1.13331
0.2,0.15,2.39996,-0.699988,0.699988,2.39996,0.699988,1.19998,0.699988,1.54997,1.26664,1.26664
0.2,0.2,2.59995,-0.799986,0.799986,2.59995,0.799986,1.29998,0.799986,1.69997,1.39998,1.39998
0.2,0.25,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.2,0.3,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.2,0.35,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.2,0.4,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.2,0.45,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.2,0.5,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.2,0.55,3.99993,-1.49997,1.49997,3.99993,1.49997,1.99996,1.49997,2.74995,2.33329,2.33329
0.2,0.6,4.19993,-1.59997,1.59997,4.19993,1.59997,2.09996,1.59997,2.89995,2.46662,2.46662
0.2,0.65,4.39992,-1.69997,1.69997,4.39992,1.69997,2.19996,1.69997,3.04995,2.59995,2.59995
0.2,0.7,4.59992,-1.79997,1.79997,4.59992,1.79997,2.29996,1.79997,3.19994,2.73329,2.73329
0.25,0,1.99996,-0.499991,0.499991,1.99996,0.499991,0.999982,0.499991,1.24998,0.999982,0.999982
0.25,0.05,2.19996,-0.599989,0.599989,2.19996,0.599989,1.09998,0.599989,1.39998,1.13331,1.13331
0.25,0.1,2.39996,-0.699988,0.699988,2.39996,0.699988,1.19998,0.699988,1.54997,1.26664,1.26664
0.25,0.15,2.59995,-0.799986,0.799986,2.59995,0.799986,1.29998,0.799986,1.69997,1.39998,1.39998
0.25,0.2,2.79995,-0.899984,0.899984,2.79995,0.899984,1.39998,0.899984,1.84997,1.53331,1.53331
0.25,0.25,2.99995,-0.999982,0.999982,2.99995,0.999982,1.49997,0.999982,1.99996,1.66664,1.66664
0.25,0.3,3.19994,-1.09998,1.09998,3.19994,1.09998,1.59997,1.09998,2.14996,1.79997,1.79997
0.25,0.35,3.39994,-1.19998,1.19998,3.39994,1.19998,1.69997,1.19998,2.29996,1.9333,1.9333
0.25,0.4,3.59994,-1.29998,1.29998,3.59994,1.29998,1.79997,1.29998,2.44996,2.06663,2.06663
0.25,0.45,3.79993,-1.39998,1.39998,3.79993,1.39998,1.89997,1.39998,2.59995,2.19996,2.19996
0.25,0.5,3.99993,-1.49997,1.49997,3.99993,1.49997,1.99996,1.49997,2.74995,2.33329,2.33329
0.25,0.55,4.19993,-1.59997,1.59997,4.19993,1.59997,2.09996,1.59997,2.89995,2.46662,2.46662
0.25,0.6,4.39992,-1.69997,1.69997,4.39992,1.69997,2.19996,1.69997,3.04995,2.59995,2.59995
0.25,0.65,4.59992,-1.79997,1.79997,4.59992,1.79997,2.29996,1.79997,3.19994,2.73329,2.73329
0.25,0.7,4.79992,-1.89997,1.89997,4.79992,1.89997,2.39996,1.89997,3.34994,2.86662,2.86662
